LOCATION,Country,SUBJECT,Subject,MEASURE,Measure,FREQUENCY,Frequency,TIME,Period,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,GPSA,"Growth rate compared to previous quarter, seasonally adjusted",Q,Quarterly,1982-Q1,Q1-1982,PC,Percentage,0,Units,,,-0.810590193,,
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,GPSA,"Growth rate compared to previous quarter, seasonally adjusted",Q,Quarterly,1982-Q2,Q2-1982,PC,Percentage,0,Units,,,0.905251608,,
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,GPSA,"Growth rate compared to previous quarter, seasonally adjusted",Q,Quarterly,1982-Q3,Q3-1982,PC,Percentage,0,Units,,,-0.668264094,,
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,GPSA,"Growth rate compared to previous quarter, seasonally adjusted",Q,Quarterly,1982-Q4,Q4-1982,PC,Percentage,0,Units,,,-1.582927047,,
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,GPSA,"Growth rate compared to previous quarter, seasonally adjusted",Q,Quarterly,1983-Q1,Q1-1983,PC,Percentage,0,Units,,,-1.004352409,,
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,GPSA,"Growth rate compared to previous quarter, seasonally adjusted",Q,Quarterly,1983-Q2,Q2-1983,PC,Percentage,0,Units,,,-0.190104133,,
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,GPSA,"Growth rate compared to previous quarter, seasonally adjusted",Q,Quarterly,1983-Q3,Q3-1983,PC,Percentage,0,Units,,,2.790231898,,
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,GPSA,"Growth rate compared to previous quarter, seasonally adjusted",Q,Quarterly,1983-Q4,Q4-1983,PC,Percentage,0,Units,,,1.665117227,,
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,GPSA,"Growth rate compared to previous quarter, seasonally adjusted",Q,Quarterly,1984-Q1,Q1-1984,PC,Percentage,0,Units,,,2.510318738,,
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,GPSA,"Growth rate compared to previous quarter, seasonally adjusted",Q,Quarterly,1984-Q2,Q2-1984,PC,Percentage,0,Units,,,1.129108139,,
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,GPSA,"Growth rate compared to previous quarter, seasonally adjusted",Q,Quarterly,1984-Q3,Q3-1984,PC,Percentage,0,Units,,,0.846438734,,
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,GPSA,"Growth rate compared to previous quarter, seasonally adjusted",Q,Quarterly,1984-Q4,Q4-1984,PC,Percentage,0,Units,,,0.692555626,,
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,GPSA,"Growth rate compared to previous quarter, seasonally adjusted",Q,Quarterly,1985-Q1,Q1-1985,PC,Percentage,0,Units,,,1.455906327,,
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,GPSA,"Growth rate compared to previous quarter, seasonally adjusted",Q,Quarterly,1985-Q2,Q2-1985,PC,Percentage,0,Units,,,2.206179884,,
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,GPSA,"Growth rate compared to previous quarter, seasonally adjusted",Q,Quarterly,1985-Q3,Q3-1985,PC,Percentage,0,Units,,,1.356988347,,
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,GPSA,"Growth rate compared to previous quarter, seasonally adjusted",Q,Quarterly,1985-Q4,Q4-1985,PC,Percentage,0,Units,,,-0.253045605,,
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,GPSA,"Growth rate compared to previous quarter, seasonally adjusted",Q,Quarterly,1986-Q1,Q1-1986,PC,Percentage,0,Units,,,0.656068921,,
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,GPSA,"Growth rate compared to previous quarter, seasonally adjusted",Q,Quarterly,1986-Q2,Q2-1986,PC,Percentage,0,Units,,,-0.179863214,,
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,GPSA,"Growth rate compared to previous quarter, seasonally adjusted",Q,Quarterly,1986-Q3,Q3-1986,PC,Percentage,0,Units,,,0.284119793,,
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,GPSA,"Growth rate compared to previous quarter, seasonally adjusted",Q,Quarterly,1986-Q4,Q4-1986,PC,Percentage,0,Units,,,1.650323024,,
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,GPSA,"Growth rate compared to previous quarter, seasonally adjusted",Q,Quarterly,1987-Q1,Q1-1987,PC,Percentage,0,Units,,,0.963035612,,
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,GPSA,"Growth rate compared to previous quarter, seasonally adjusted",Q,Quarterly,1987-Q2,Q2-1987,PC,Percentage,0,Units,,,1.567979628,,
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,GPSA,"Growth rate compared to previous quarter, seasonally adjusted",Q,Quarterly,1987-Q3,Q3-1987,PC,Percentage,0,Units,,,1.819891282,,
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,GPSA,"Growth rate compared to previous quarter, seasonally adjusted",Q,Quarterly,1987-Q4,Q4-1987,PC,Percentage,0,Units,,,2.021928102,,
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,GPSA,"Growth rate compared to previous quarter, seasonally adjusted",Q,Quarterly,1988-Q1,Q1-1988,PC,Percentage,0,Units,,,0.428101787,,
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,GPSA,"Growth rate compared to previous quarter, seasonally adjusted",Q,Quarterly,1988-Q2,Q2-1988,PC,Percentage,0,Units,,,0.068370048,,
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,GPSA,"Growth rate compared to previous quarter, seasonally adjusted",Q,Quarterly,1988-Q3,Q3-1988,PC,Percentage,0,Units,,,0.826091232,,
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,GPSA,"Growth rate compared to previous quarter, seasonally adjusted",Q,Quarterly,1988-Q4,Q4-1988,PC,Percentage,0,Units,,,1.548807721,,
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,GPSA,"Growth rate compared to previous quarter, seasonally adjusted",Q,Quarterly,1989-Q1,Q1-1989,PC,Percentage,0,Units,,,1.030776697,,
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,GPSA,"Growth rate compared to previous quarter, seasonally adjusted",Q,Quarterly,1989-Q2,Q2-1989,PC,Percentage,0,Units,,,2.125083187,,
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,GPSA,"Growth rate compared to previous quarter, seasonally adjusted",Q,Quarterly,1989-Q3,Q3-1989,PC,Percentage,0,Units,,,0.812354849,,
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,GPSA,"Growth rate compared to previous quarter, seasonally adjusted",Q,Quarterly,1989-Q4,Q4-1989,PC,Percentage,0,Units,,,-0.278971209,,
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,GPSA,"Growth rate compared to previous quarter, seasonally adjusted",Q,Quarterly,1990-Q1,Q1-1990,PC,Percentage,0,Units,,,0.832431695,,
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,GPSA,"Growth rate compared to previous quarter, seasonally adjusted",Q,Quarterly,1990-Q2,Q2-1990,PC,Percentage,0,Units,,,0.136787665,,
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,GPSA,"Growth rate compared to previous quarter, seasonally adjusted",Q,Quarterly,1990-Q3,Q3-1990,PC,Percentage,0,Units,,,-0.599498969,,
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,GPSA,"Growth rate compared to previous quarter, seasonally adjusted",Q,Quarterly,1990-Q4,Q4-1990,PC,Percentage,0,Units,,,0.586604251,,
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,GPSA,"Growth rate compared to previous quarter, seasonally adjusted",Q,Quarterly,1991-Q1,Q1-1991,PC,Percentage,0,Units,,,-1.296713801,,
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,GPSA,"Growth rate compared to previous quarter, seasonally adjusted",Q,Quarterly,1991-Q2,Q2-1991,PC,Percentage,0,Units,,,-0.126190371,,
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,GPSA,"Growth rate compared to previous quarter, seasonally adjusted",Q,Quarterly,1991-Q3,Q3-1991,PC,Percentage,0,Units,,,0.410881755,,
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,GPSA,"Growth rate compared to previous quarter, seasonally adjusted",Q,Quarterly,1991-Q4,Q4-1991,PC,Percentage,0,Units,,,0.06730591,,
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,GPSA,"Growth rate compared to previous quarter, seasonally adjusted",Q,Quarterly,1992-Q1,Q1-1992,PC,Percentage,0,Units,,,0.748152769,,
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,GPSA,"Growth rate compared to previous quarter, seasonally adjusted",Q,Quarterly,1992-Q2,Q2-1992,PC,Percentage,0,Units,,,0.718891958,,
